A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
126.0,246.81684832219895,10,0.6584673571807096,114.64675155611954,10,0.2308561289013891,128.54986918942893,10,0.5931687531453109,311.70696838648064,1.5,0.005619029391472831,319.00157104719136,10,0.10919204712027361,3.5,3.5,4.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,policy_rfr0,dikesnet,251618975.26221684,0,538900000.0,0.0,0.2186230341445731
43.0,220.23738475739688,1.0,0.5045630916521003,345.78347972880374,1.0,0.3022110047609706,30.861731750608403,1.0,0.014507661642634494,270.4894686059455,1.0,0.24436220913301718,222.53340869860773,1.5,0.33199528800029365,2.5,2.5,4.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,policy_rfr0,dikesnet,1844082866.5415022,0,538900000.0,0.0,3.1868504214517626
126.0,215.5312848304966,1.0,0.24464239269788826,228.72974943233712,10,0.6704459470327764,247.45467963543842,1.5,0.7606073048215818,176.27213728736575,1.5,0.7358143571335117,227.40947955988574,1.0,0.588134827630297,3.5,2.5,4.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,policy_rfr0,dikesnet,59354169.47140574,0,538900000.0,0.0,0.06648444287730954
116.0,224.7633525387691,1.5,0.3823191173099566,226.65022257200314,1.0,0.6096823848976314,96.48393537851459,10,0.03543848287955364,65.1622103094782,10,0.7531669197542367,343.01680660918953,1.0,0.061429099235348616,3.5,1.5,4.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,policy_rfr0,dikesnet,1865842995.019597,0,538900000.0,0.0,3.1589894487116505
102.0,157.1255377077332,1.5,0.3942294154718906,64.63832210502017,10,0.5847903214250505,69.28582665757787,1.5,0.034185456646807985,50.36467939482695,10,0.9654309146882091,333.85857257453824,1.0,0.21309000989873433,2.5,1.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,policy_rfr0,dikesnet,2191243042.277283,0,538900000.0,0.0,3.1224486460625958
61.0,270.74984922953786,10,0.8746932455842228,248.66620240386789,10,0.5912319462442699,247.8025333493183,1.0,0.12386843733593784,299.03774391918597,1.0,0.47400609918535697,152.1716818332815,1.0,0.8542124818594163,2.5,1.5,3.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,policy_rfr0,dikesnet,910722222.362859,0,538900000.0,0.0,1.3876826240612965
43.0,91.33758736480362,1.5,0.8141496584626186,41.4558030613468,1.0,0.4881216849566373,252.74639701342335,10,0.7852224650780845,294.3702193279923,1.5,0.6023214566088758,101.45656027337368,10,0.6634761976114358,1.5,2.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,policy_rfr0,dikesnet,40384630.89297267,0,538900000.0,0.0,0.030045981732821494
115.0,253.56815390412515,1.0,0.3749313591716868,212.56889425668794,1.5,0.9920528680587543,253.27474297220795,10,0.5691713904586791,134.96330037959092,10,0.5136333541996443,321.97935076859153,10,0.11216498926035623,3.5,4.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,policy_rfr0,dikesnet,326159715.9802679,0,538900000.0,0.0,0.34801656215036497
59.0,338.0854106773146,1.0,0.3816251319369165,82.99533659522723,10,0.4403794739646157,334.02874484625147,1.0,0.22340499016513835,168.1226891829431,1.5,0.2328046186202194,73.10926797873398,10,0.7224188290003258,3.5,4.5,1.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,policy_rfr0,dikesnet,345133741.12728864,0,538900000.0,0.0,0.5154279006995929
53.0,305.9999262217538,10,0.3683742551730535,195.91498944681373,1.5,0.8857192647146187,312.45990531043697,1.0,0.6246093465830419,343.9519473061508,1.0,0.8878289534178687,81.57668084539684,1.5,0.09382559229861104,1.5,2.5,2.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,policy_rfr0,dikesnet,550214910.9499207,0,538900000.0,0.0,0.4736088528376446
