A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,0,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,1,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,2,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,3,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,4,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,5,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,6,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,7,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,8,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
105.0,264.69594413274626,10,0.6041068389423897,337.3462160229232,1.0,0.6485080535276512,153.32507353825906,10,0.5959224798525062,303.6570685222138,1.5,0.8309791674527969,243.47137970624567,1.0,0.08699437550628697,4.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,9.0,7.0,5.0,5.0,9.0,5.0,5.0,9.0,0.0,9.0,0.0,3.0,0.0,0,9,dikesnet,0.0,717383075.9235679,0.0,0.0,0.0
