discount rate 0,discount rate 1,A.0_ID flood wave shape,A.1_Bmax,A.1_pfail,A.1_Brate,A.2_Bmax,A.2_pfail,A.2_Brate,A.3_Bmax,A.3_pfail,A.3_Brate,A.4_Bmax,A.4_pfail,A.4_Brate,A.5_Bmax,A.5_pfail,A.5_Brate,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,EWS_DaysToThreat,scenario,policy,model,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,9.0,7.0,2.0,reference,12,dikesnet,79486319.65737332,308170968.52483296,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,3.0,7.0,3.0,9.0,7.0,2.0,reference,13,dikesnet,77455330.97965232,336453304.82586914,0.0,1047.722634491474,0.009913873289675256
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,3.0,7.0,3.0,9.0,7.0,2.0,reference,14,dikesnet,79486319.65737332,342748172.77441823,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,3.0,7.0,3.0,9.0,7.0,2.0,reference,15,dikesnet,75621858.36963065,327682768.41748154,0.0,992.3073517388016,0.009062465345570604
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,8.0,7.0,3.0,9.0,7.0,2.0,reference,16,dikesnet,79486319.65737332,321705168.1480106,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,8.0,3.0,9.0,7.0,2.0,reference,17,dikesnet,79486319.65737332,310383688.33628345,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,9.0,7.0,2.0,reference,18,dikesnet,79486319.65737332,308170968.52483296,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,4.0,7.0,2.0,reference,19,dikesnet,79486319.65737332,279186497.23997104,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,9.0,9.0,2.0,reference,20,dikesnet,79486319.65737332,320241303.47029364,0.0,1147.785956213124,0.010245169184023566
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,3.0,9.0,7.0,1.0,reference,21,dikesnet,79486319.65737332,308170968.52483296,0.0,691.3722465660229,0.02458840604165655
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,22,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,23,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,24,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,25,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,26,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,27,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,28,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,29,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,30,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,31,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,32,dikesnet,73590869.69190964,395505380.58744967,0.0,537.4458157279782,0.0209548066829335
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,33,dikesnet,8032659.141093308,429473323.8533088,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,34,dikesnet,16492338.792796832,396217047.4454229,0.0,333.47180293933343,0.005732104847893799
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,7.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,35,dikesnet,8032659.141093308,389922179.49687386,0.0,83.2198079496397,0.0023859635541241923
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,1.0,8.0,8.0,3.0,4.0,9.0,1.0,reference,36,dikesnet,30056607.542253807,406938544.53000283,0.0,612.7573063245109,0.018684682519560524
3.5,3.5,4.0,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,190.0,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,8.0,7.0,3.0,8.0,3.0,4.0,9.0,1.0,reference,37,dikesnet,8032659.141093308,412916144.79947376,0.0,83.2198079496397,0.0023859635541241923
