,0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,Robustness metric Damage,Robustness metric Dike Costs,Robustness metric RfR Costs,Robustness metric Evacuation Costs,Robustness metric Deaths,,
16,0,0,0,0,1,1,1,1,0,0,0,4,53,9,0,10,0,9,0,10,1,10,4,0.99,0.35951062,0.3038,0,0.99
1,1,0,0,0,1,1,1,1,0,0,0,5,45,6,0,10,0,10,0,9,0,10,0,0.98,0.280778438,0.3884,0,0.98
24,0,0,0,0,1,1,1,1,0,0,0,4,49,9,0,10,0,10,0,10,0,10,0,0.98,0.307565745,0.3038,0,0.98
4,1,1,0,0,1,0,1,1,0,0,0,5,43,6,0,9,0,9,0,9,0,10,0,0.97,0.267639078,0.4423,0,0.97
15,1,1,0,0,0,1,0,1,0,0,0,4,45,6,0,10,0,10,0,10,0,9,0,0.97,0.277956072,0.3211,0,0.97
22,0,0,0,0,1,1,1,0,0,0,0,3,49,10,0,9,0,10,0,10,0,10,0,0.97,0.307875324,0.1826,0,0.97
8,0,0,0,0,1,1,1,0,0,0,0,3,47,9,0,9,0,10,0,9,0,10,0,0.96,0.295792095,0.1826,0,0.96
20,0,0,0,0,0,0,0,1,0,0,0,1,56,9,0,10,0,10,0,10,7,10,0,0.96,0.32752263,0.1212,0,0.96
81,1,1,0,1,1,1,1,1,0,0,0,7,40,4,0,8,0,9,0,9,0,10,0,0.96,0.246055118,0.6908,0,0.96
