A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,A.1_Expected Annual Damage,A.2_Expected Annual Damage,A.3_Expected Annual Damage,A.4_Expected Annual Damage,A.5_Expected Annual Damage,A.1_Expected number of deaths,A.2_Expected number of deaths,A.3_Expected number of deaths,A.4_Expected number of deaths,A.5_Expected number of deaths
29.0,189.18422360419672,1.0,0.8730221197223637,261.87842384634126,1.0,0.716766860995365,313.97454310489445,1.0,0.06098048135061399,269.3799783286579,1.0,0.42144265327738517,131.49586118240617,1.0,0.18182261035535963,2.5,2.5,2.5,0.0,12017878.872987438,671185984.8058617,0.0,0.0,0.0,0.034006620356347404,3.2841854998685323,0.0,0.0
73.0,155.1603213310799,1.5,0.3614090907249673,46.55643593602471,1.0,0.5564746184328445,73.77048921815177,1.0,0.023249215834426677,337.66066199532435,1.0,0.3903717536996035,88.08286048016885,10,0.271492059142657,3.5,2.5,3.5,652392249.2008197,0.0,565395584.809448,0.0,0.0,1.4564018058280506,0.0,3.155355006749141,0.0,0.0
38.0,259.26074161117145,1.0,0.3103099280608769,189.48170806072477,1.5,0.4266033385382669,58.61646938513716,1.5,0.7667310249730188,287.1728378026711,1.0,0.4486405741845052,136.69548245412568,10,0.6068102836389232,2.5,4.5,1.5,921063857.2248408,0.0,0.0,0.0,0.0,1.7896830979769143,0.0,0.0,0.0,0.0
86.0,105.14700172266143,1.5,0.010456293605524289,228.64407971222502,1.0,0.95645447010258,332.828469498779,1.5,0.1439943357239849,323.4903682612139,1.0,0.38917815832385416,42.63846848406176,1.0,0.026479514166221154,4.5,1.5,4.5,815336535.050768,0.0,212796412.03550953,0.0,3979774.9469184736,1.7968607199056628,0.0,1.1861732680281554,0.0,0.010649104962578966
106.0,71.97889669660329,1.5,0.34125007031448695,52.521521056309204,1.0,0.8311027705465812,32.4931984533506,1.5,0.7938412103080076,284.6888461149485,10,0.40291891549728004,276.50674707789324,1.5,0.8952961391067467,1.5,4.5,2.5,745996513.8481857,0.0,4095100.1521636867,6825601.818580106,0.0,1.4657870963113562,0.0,0.022029514338579005,0.009549172524024922,0.0
102.0,169.17935255078146,1.5,0.028341175832693345,167.64720138829557,1.0,0.4755293201248667,135.46503700241124,1.5,0.798533524178544,238.2491817024502,1.5,0.13285765154273432,82.786798393605,1.0,0.5543106666588932,1.5,2.5,3.5,969510860.5349581,0.0,0.0,4199165.341434169,0.0,1.7981621411347637,0.0,0.0,0.005133466032991681,0.0
3.0,169.79070172651498,10,0.49549426608051916,96.36359132860257,1.5,0.9792250119501983,226.05693325358283,10,0.982687837996227,168.73759739782022,1.0,0.10655714423606497,171.83368503087667,10,0.9636611896456833,3.5,2.5,2.5,83358338.10435686,0.0,0.0,47814856.90774064,0.0,0.18279800827850418,0.0,0.0,0.06412673207527457,0.0
74.0,48.6263859699528,1.5,0.16163946321845954,218.0744053840649,10,0.072638981564018,32.733333381993276,1.5,0.136657604901444,79.22651482951288,10,0.3764915526734672,301.76659971790724,10,0.5143081383465706,1.5,1.5,4.5,1026777422.2425454,266517046.80003458,526038302.9832087,0.0,0.0,1.8185814189786853,0.6062450078078174,2.2949611154258074,0.0,0.0
105.0,247.1525115805545,1.5,0.40322367456717,44.66711491846009,10,0.9936103821939615,302.8120402820535,1.5,0.3300361101675792,153.49387350073926,1.5,0.031015280839482847,301.3434029473131,10,0.7150309591272077,2.5,2.5,1.5,400854399.07590604,0.0,39657872.0661324,58726191.02640102,0.0,0.7194894934670413,0.0,0.18042356495010767,0.06261617157889501,0.0
109.0,142.98785036345635,1.0,0.5449201990543874,120.39674428421635,1.5,0.48194258391250683,75.78273012083284,10,0.7653285015992929,30.868716167706314,1.0,0.6059963919408401,133.06523864850482,1.5,0.3716817488955291,2.5,3.5,1.5,54706591.751700476,24026982.99181415,9228801.0325397,1244795.1912912983,52323773.03255363,0.10935348515341377,0.06392455915510606,0.04745750720922798,0.001793211493175232,0.13222430034623608
94.0,342.7352230540278,1.0,0.8885150534418277,218.45577136011045,10,0.40693985912335134,195.13867103503898,10,0.7646136225662683,194.2335062534576,10,0.6002679362833558,77.36154412999909,10,0.13256478186941295,3.5,3.5,2.5,0.0,27208414.90101757,1265250.3476476083,0.0,100057644.66799295,0.0,0.08549261337669442,0.007686534903313657,0.0,0.29601293178595434
66.0,32.9658793992046,1.0,0.6750151016713011,329.37824459205603,10,0.6683432106849726,220.71980981515762,1.5,0.10792565036122789,252.97358349433637,10,0.8218720490306493,293.5922987604976,1.0,0.4725486550716888,2.5,2.5,3.5,7313519.651339994,11032305.087527886,621382412.7426318,0.0,0.0,0.016450920425084628,0.03300841291783102,3.2497399796567965,0.0,0.0
19.0,207.83800124562234,1.5,0.8297251351196588,268.2883002346298,10,0.615308324491806,314.7009490132696,1.5,0.4828986831526947,342.00668269306186,1.0,0.9492871741723459,226.90165992822247,1.5,0.33975559037934716,4.5,2.5,1.5,0.0,15875306.293207098,60045233.690366186,0.0,57245149.526273295,0.0,0.04524037281889122,0.317619279431147,0.0,0.15185341109486433
48.0,260.3889182627197,1.0,0.6715684465599747,178.1405060710728,10,0.8104701499233338,71.52506769505786,1.5,0.21775100058774655,110.63048313672076,10,0.2964404277560424,197.31384496538115,1.0,0.7937767974210719,2.5,4.5,2.5,16966490.597551007,4890358.807124302,466595843.14538705,4484902.784775112,0.0,0.04008217033180089,0.015773476046567543,2.602044857379874,0.006704827839293728,0.0
124.0,131.74780908847413,10,0.7309467817092933,204.83336211289102,1.5,0.8692554922694103,49.18249298444067,1.0,0.16809917763299,243.13063899503388,1.5,0.727681678866741,335.2408006375092,1.5,0.6136611277830252,2.5,2.5,4.5,7250485.660443811,4940669.763530302,471602563.38397104,0.0,0.0,0.01731827737762888,0.01608302987226777,2.6444133968241834,0.0,0.0
1.0,222.63804197625663,10,0.8245409696888297,281.8728977827136,1.5,0.25994726821480185,131.74226565088622,10,0.8066585670435293,134.91638758111264,1.5,0.9154307371104997,330.2259088636929,10,0.0028039371717973995,1.5,3.5,3.5,0.0,64992183.13986361,0.0,0.0,345646499.53107536,0.0,0.1792658990917314,0.0,0.0,0.8712798261472939
2.0,176.21895270467272,10,0.1779218634680731,128.26926417517487,1.0,0.7816214087261112,238.25643931900993,1.5,0.7837694764002735,200.0545902254728,10,0.6423280406938932,126.72087333359184,10,0.10708647576830875,3.5,4.5,1.5,868771237.9393132,0.0,0.0,0.0,17951137.826652378,1.8191161396300224,0.0,0.0,0.0,0.049764909583046635
36.0,281.57882970078015,10,0.28626810982727247,317.9099593213972,10,0.6726310318507047,140.9896289227096,10,0.2938430999425474,284.4653136372321,1.5,0.37563193350914276,228.00821039941275,1.0,0.07807472905892839,4.5,2.5,2.5,826271546.9805571,0.0,4974329.1471864935,0.0,0.0,1.784069585957834,0.0,0.028004132008586112,0.0,0.0
21.0,146.91120298801738,1.5,0.07887892544462716,198.31154309253736,1.5,0.8639037182514725,132.9267472814541,10,0.6594987652870056,105.04005156545477,1.5,0.3121100097724645,158.08615274633058,10,0.08206558034985914,1.5,1.5,4.5,1013108564.1038566,0.0,0.0,2686651.624308704,34848557.85923888,1.7881743214049481,0.0,0.0,0.0032681978432084246,0.08103288373338763
20.0,94.87462475811738,1.5,0.589063021314273,338.12255340292893,1.5,0.7158226263790205,247.20048561181773,1.0,0.13881867493462532,116.91161644785696,1.0,0.12758704587134603,291.25400125288843,1.5,0.4527096861659991,2.5,3.5,2.5,38026725.622194014,11049108.433218494,626558496.1876764,729075.5117918063,0.0,0.08475890375261098,0.0331064953855875,3.291346093387464,0.0009409349670419206,0.0
33.0,41.04371366083652,10,0.3774956040119133,81.11282677831235,10,0.31984012851494203,329.2632724393846,10,0.6483649728163219,125.49712105260384,10,0.3906940683618501,53.28041447015882,1.0,0.3458589682619454,4.5,1.5,1.5,589284471.8489456,44465339.472285375,0.0,7975752.395925069,0.0,1.0626640169700328,0.10999271438379246,0.0,0.009799183393655805,0.0
69.0,67.4428001487918,1.5,0.3333867255165968,62.836901394242645,1.0,0.7930642204227044,229.0468181308878,1.5,0.9281220264970612,208.89515593249394,1.5,0.31376328253848745,116.32305334844942,10,0.9368371863304202,2.5,2.5,3.5,883647819.6316588,719734.7738644979,1387254.674705929,9257517.426356856,0.0,1.8168211181003988,0.002167676884341143,0.007918287132310171,0.013605357143093477,0.0
0.0,284.19148933294684,1.5,0.654506621153314,268.5806025059736,1.0,0.5794865650032195,340.7266772931343,1.0,0.9253580402027437,250.8754077890097,1.0,0.18405433251871975,334.19277954407397,10,0.5115867033029116,1.5,4.5,2.5,19538790.52765946,18100595.82564836,1463986.8561569462,30168672.889858175,0.0,0.04176350628174507,0.051259349820592874,0.007924047256974875,0.040636754296983144,0.0
15.0,74.01321729600048,10,0.9265050238659813,93.90152843534545,10,0.36834173944720605,278.39897340959385,1.5,0.2187655667207156,330.7247475381022,10,0.41830911539483345,222.17605440095775,10,0.8254202086718223,4.5,1.5,3.5,0.0,38500603.435855314,485683264.34613377,0.0,0.0,0.0,0.1143709584868351,2.6212983754530175,0.0,0.0
